country,dgdp,dqinv,dyp,dqgdp_allprimary,dqgdp_manufac,dqgdp_utilities,dqgdp_constr,dqgdp_retail,dqgdp_hosp,dqgdp_transport,dqgdp_ict_prof_serv,dqgdp_arts_rec_other,dqgdp_pubadm,dpgdp_allprimary,dpgdp_manufac,dpgdp_utilities,dpgdp_constr,dpgdp_retail,dpgdp_hosp,dpgdp_transport,dpgdp_ict_prof_serv,dpgdp_arts_rec_other,dpgdp_pubadm
row,-8.0687270502535,-8.239329771833601,1.8024572270260464e-12,-2.412695033448578,-7.3084725647449,-6.864605995009132,-8.490504793917411,-8.647934433954287,-8.734716266338115,-8.474900024798144,-7.38648831626596,-9.53075787517736,-10.822359043515645,2.472345182886071,7.884725569823243,7.3705663333997755,9.278277379630026,9.466599775682258,9.570688775625284,9.25964574427855,7.975605483455152,10.534804593620569,12.135731476456698
chn,-9.396121116225709,-8.982290162578554,1.412378951719284e-12,-10.596478029280789,-8.356709817684795,-7.908365077033626,-9.345215386029027,-8.965249415282358,-8.950018640849812,-8.479448685364053,-8.310485876702383,-10.430382028764877,-10.671033578588638,11.852416768222577,9.118736135576802,8.587495578344766,10.308573811988694,9.848161671998854,9.829786351682774,9.265076055119572,9.06372550467283,11.645000017881078,11.945770790909346
jpn,-8.824772986218289,-8.768126497485481,8.407226281906334e-13,-5.756631336264232,-8.315927071156969,-7.63190461088946,-9.494281942906976,-9.204236785612572,-9.219546132363938,-8.833327166815822,-6.8355325080462785,-7.619542903414783,-9.504815155657765,6.1082614274769504,9.070198133117556,8.262489963379874,10.490256468568058,10.13729766650085,10.155871379325548,9.68920647458542,7.337059602297129,8.248003033206084,10.503117013361383
ind,-9.647834160056556,-9.4972303214947,1.050796575288552e-12,-13.248317299995572,-8.325668255669973,-10.102891485868353,-10.183655249688728,-8.05884772686978,-10.160623383426785,-9.192290686042744,-6.997478281903029,-9.355096995192332,-11.699765616938866,15.2715392803396,9.081787777728652,11.238283024732834,11.338309611686183,8.765223762837262,11.30976612492815,10.122808686058212,7.523966181384216,10.32059904647605,13.249982515543953
usa,-9.500260644733826,-8.62546308428851,2.3085090974659016e-12,-3.1057686472925616,-8.397321805164024,-7.637512348658566,-9.885075539934666,-9.567959264890742,-9.829457432102426,-9.672137625119937,-8.195523585740885,-9.917682820835134,-11.029461343008624,3.2053184218598165,9.16711385589139,8.269063061068389,10.969410005240173,10.58027573757764,10.900962944415378,10.707811931805548,8.927150293588882,11.009577829922106,12.39675684726709
eur,-8.577739563536667,-8.245757403079619,1.275038383302195e-12,-3.3651200997353823,-7.940725958828914,-7.190460124104065,-8.573975213352986,-8.756214765495768,-8.982661789821227,-8.85905174298434,-6.98970926260412,-8.680063858965648,-10.29777062332355,3.482303805076429,8.625666497520413,7.74754420043457,9.37804660474108,9.596505387180592,9.869176539835973,9.720166305493171,7.514984855105483,9.505113807308234,11.479949489418269
fra,-9.704451956810656,-8.94435655934997,7.391374336898185e-13,-4.596120257306118,-8.936161947001366,-8.677440748345829,-9.489007603561529,-9.942634212973331,-10.005784463165003,-9.964698417357699,-8.279740539752941,-9.79798575061939,-11.049474588391716,4.817540198297441,9.813074144537326,9.50196842867104,10.483817879269763,11.040334264814202,11.118252882675943,11.06754599829045,9.027166504410307,10.862269354131884,12.422045330550173
deu,-9.46236511541092,-8.710080661365975,9.838938116817889e-13,-3.528375382811105,-8.915338449610715,-8.205072828227744,-9.456863297402363,-9.68938524792457,-10.070369871638913,-9.2282714864289,-7.709017004884425,-7.811203243527026,-10.90557420975007,3.6574229958216407,9.787969014606722,8.938481766944177,10.444594302564871,10.72895503427256,11.19805547656066,10.166460017393849,8.352947118672473,8.473050433841605,12.240467473717283
gbr,-10.211681577113573,-9.346400547233428,4.541420979907884e-12,-3.330013739024154,-9.3894526047066,-7.608489202986031,-10.630593232144193,-10.480632242899542,-10.319619445444934,-10.071556882310368,-8.707604723597274,-11.20617644517184,-11.316107631527336,3.4447235048966607,10.362427857045411,8.23505226546908,11.895114465470884,11.707670089161102,11.507109338337136,11.19952323552868,9.538149039948172,12.620445878487091,12.760048447709805
