region,delta_gdp
row,-0.08698706412080981
chn,-0.09665255363713521
jpn,-0.09397479564764455
ind,-0.09803838373587725
usa,-0.09925745616304982
eur,-0.09148330104394065
fra,-0.10276261777767137
deu,-0.10018064267608362
gbr,-0.1068334675156597
