region,delta_gdp
row,-0.007125567085486506
chn,-0.007950918169166266
jpn,-0.007675720288363275
ind,-0.008090476515639877
usa,-0.008142186371672522
eur,-0.007476505191745142
fra,-0.008453915309081239
deu,-0.008219876300352591
gbr,-0.008797959305023917
