quarter,UKE,UKC
1,-1.957681188329241,-26.507394640635297
2,-2.140573718383698,-60.88408657684965
3,-0.5621021526170167,-0.9224051029584235
4,-0.571009443532855,-0.9469619678093455
5,-1.409222083234074,-36.74094542073993
6,-1.8221811502787122,-66.77852522780236
7,-1.001809744398463,-15.483629813538247
8,-1.4214855877556665,-35.23362516636136
